"w, kHz","Ur, V","Uc, V","Ul, V"
1,"3,8","0,28","0,05"
"1,50","4,2","0,3","0,07"
2,"5,1","0,33","0,1"
"2,50","6,6","0,39","0,16"
3,"9,6","0,53","0,3"
"3,50",18,"0,9","0,65"
"4,00",81,"3,47","3,3"
"4,01",84,"3,58","3,47"
"4,02",86,"3,69","3,6"
"4,03","88,6","3,75","3,68"
"4,04",90,"3,81","3,75"
"4,06","91,2","3,85","3,85"
"4,07","91,3","3,85","3,85"
"4,10",87,"3,635","3,67"
"4,20",62,"2,57","3,65"
"4,50","24,6","1,01","1,17"
"5,00","12,2","0,45","0,65"
"5,50","8,4","0,29","0,5"
"6,5","5,7","0,175","0,37"
"7,5","4,7","0,102","0,34"
"8,50","4,2","0,113","0,31"
"10,50","3,9","0,102","0,27"
"13,5","3,7","0,101","0,259"
