Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1831,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-5.8,-12.2,999.9
1832,-17.8,-11.8,-6.3,-0.6,9.9,13.3,21,13.5,9.5,1.9,-10.8,-16.8,0.4
1833,-17,-12.1,-8.5,2,5.4,16.4,18.8,15.1,7.6,1.2,-0.5,-14.9,1.1
1834,-22.8,-16.9,-4.9,-0.2,7.7,14.3,16.2,14.8,8.9,4,-2.7,-9.8,0.7
1835,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1836,-13.2,-14.7,-2.4,2.8,7.3,13.4,15.2,14,8.8,1.8,-6.6,-13.9,1
1837,-16.7,-14,-6.6,-1.4,9,15.8,15.6,14.7,7.3,-0.2,-5.1,-18.6,0
1838,-18.2,-14.5,-10.2,3.5,8.6,13.8,15.4,15.2,6.5,2,-4.9,-14.6,0.2
1839,-12.6,-13.7,-10.7,-0.4,11.1,15.1,19.4,16.4,8.4,1.3,-8.4,-23.3,0.2
1840,-14.7,-18.3,-10.1,1.3,9.5,17,18.4,15.1,6.1,-2.1,-10.2,-18.2,-0.5
1841,-17,-15.6,-10.1,0.7,9.1,15.5,18.4,16.7,7.2,3.9,-8,-13.2,0.6
1842,-15,-11.1,-8.7,-0.6,6.9,13.6,19.6,12.6,6.6,-0.1,-6,-14.6,0.3
1843,-11.8,-5.4,-5.8,-0.5,9.9,15.6,18.7,11.1,11.2,6.5,-7.5,-12.4,2.5
1844,-13.8,-14.8,-7.3,-1.6,9.8,16.7,17.9,12.5,8,0.7,-12.3,-16.8,-0.1
1845,-14.4,-15.6,-8.9,0.6,6.4,14.5,17.6,13.9,9.2,0.8,-5.4,-16.8,0.2
1846,-17.2,-11.4,-5.2,-1.2,9.4,14.9,17.4,11.9,8.2,-2.4,-8,-11.6,0.4
1847,-22.2,-13.6,-12.6,2.4,8.5,13.7,17.7,16.1,12.1,2.2,-5.4,-16.1,0.2
1848,-21,-10,-6.3,3.2,8,13.6,19.3,14.5,7.2,0.3,-7,-18.8,0.3
1849,-15.3,-11.7,-5.4,1.9,5.5,14.8,18.5,13.7,6.2,3.6,-5.8,-16,0.8
1850,-25.2,-13,-7.6,2.6,6.7,13.7,16.5,13.2,8.2,-1.9,-7.7,-12.3,-0.6
1851,-16.3,-15.6,-10.8,0.6,10.2,16.8,16.7,15.6,13.8,1,-2.9,-9.8,1.6
1852,-16.9,-16.3,-5.5,3,11.9,12.5,15.1,13.7,9.7,-0.3,-10.8,-11.3,0.4
1853,-16,-11.3,-8.9,1.3,9.8,12,18.3,17.6,7.3,0.8,-7.8,-14,0.8
1854,-21.6,-13.9,-8,0.3,10.6,14,18.9,15.2,11.4,5,-4.1,-8.9,1.6
1855,-14.8,-10.4,-9.8,4.4,12.6,12.7,14.6,15.5,6.6,2.1,-6.5,-18.9,0.7
1856,-11.2,-14.9,-10.5,-0.8,11.3,13.8,16.6,13.2,8,-3.2,-7.5,-10,0.4
1857,-13.6,-19,-6.9,-0.7,7.4,12.2,17,15.9,5.6,-1.6,-10.3,-15.5,-0.8
1858,-14.6,-14.8,-8.4,3.7,12.8,14.1,16.6,10.9,6,1.2,-9.4,-14.9,0.3
1859,-16.6,-9.8,-7.6,6.8,9,17.1,17.2,12.4,7.4,3.2,-4.6,-9.5,2.1
1860,-19.6,-15,-11.1,1.1,10.2,14.1,17,14.3,9.9,3.3,-9,-24.2,-0.8
1861,-18.1,-15.3,-5.9,-2.9,13.8,12.2,18.1,16.5,9.8,-1.8,-10.5,-15.9,0
1862,-18.6,-18.8,-8.1,2.5,3.8,11.7,18.1,12.7,8.3,-1.7,-8.1,-17.1,-1.3
1863,-10,-13.7,-7,3.3,13.5,13.5,18.3,15.9,8.3,0.1,-6.4,-18.2,1.5
1864,-21.9,-11.7,-5.3,3.3,13,18.4,18.7,19.2,8.4,-0.9,-10.8,-15.3,1.3
1865,-12,-17.4,-8,1.2,6.3,17,16.2,14.9,8.8,-0.6,-6.1,-14.9,0.5
1866,-11.4,-17.5,-5.6,0,11.2,11.8,19.7,13.8,9.4,-1.4,-4.5,-11.8,1.1
1867,-13.1,-15.2,-9.8,4.4,7.2,17.1,19.3,16.1,9.6,2.8,-3.6,-12,1.9
1868,-20,-16.6,-7.6,3.4,10.2,15.8,18.2,15.8,8.7,2.6,-8,-13.6,0.7
1869,-21.5,-11.1,-8.2,1.8,8,18,19.6,19,11.8,2.5,-2.1,-14.4,2
